resource_id,tool_id,tool_route,relationship
interpersonal-effectiveness-p003,,,no-specialized-tool
interpersonal-effectiveness-p004,,,no-specialized-tool
interpersonal-effectiveness-p005,,,no-specialized-tool
interpersonal-effectiveness-p006,,,no-specialized-tool
interpersonal-effectiveness-p007,,,no-specialized-tool
interpersonal-effectiveness-p009,,,no-specialized-tool
interpersonal-effectiveness-p010,,,no-specialized-tool
interpersonal-effectiveness-p011,,,no-specialized-tool
interpersonal-effectiveness-p012,,,no-specialized-tool
interpersonal-effectiveness-p013,,,no-specialized-tool
interpersonal-effectiveness-p014,,,no-specialized-tool
interpersonal-effectiveness-p015,values,/skill-finder/values/,supporting-resource
interpersonal-effectiveness-p017,dear-man,/skill-finder/dear-man/,supporting-resource
interpersonal-effectiveness-p018,dear-man,/skill-finder/dear-man/,supporting-resource
interpersonal-effectiveness-p019,dear-man,/skill-finder/dear-man/,supporting-resource
interpersonal-effectiveness-p020,dear-man,/skill-finder/dear-man/,source-for-tool
interpersonal-effectiveness-p022,,,no-specialized-tool
interpersonal-effectiveness-p023,,,no-specialized-tool
interpersonal-effectiveness-p024,,,no-specialized-tool
interpersonal-effectiveness-p025,,,no-specialized-tool
interpersonal-effectiveness-p026,,,no-specialized-tool
interpersonal-effectiveness-p027,,,no-specialized-tool
interpersonal-effectiveness-p028,dear-man,/skill-finder/dear-man/,source-for-tool
interpersonal-effectiveness-p031,,,no-specialized-tool
interpersonal-effectiveness-p032,,,no-specialized-tool
interpersonal-effectiveness-p033,,,no-specialized-tool
interpersonal-effectiveness-p034,,,no-specialized-tool
interpersonal-effectiveness-p035,dear-man,/skill-finder/dear-man/,source-for-tool
interpersonal-effectiveness-p037,ask-or-say-no,/skill-finder/ask-or-say-no/,supporting-resource
interpersonal-effectiveness-p038,ask-or-say-no,/skill-finder/ask-or-say-no/,supporting-resource
interpersonal-effectiveness-p039,ask-or-say-no,/skill-finder/ask-or-say-no/,supporting-resource
interpersonal-effectiveness-p040,,,no-specialized-tool
interpersonal-effectiveness-p041,,,no-specialized-tool
interpersonal-effectiveness-p042,,,no-specialized-tool
interpersonal-effectiveness-p043,,,no-specialized-tool
interpersonal-effectiveness-p044,,,no-specialized-tool
interpersonal-effectiveness-p045,,,no-specialized-tool
interpersonal-effectiveness-p046,,,no-specialized-tool
interpersonal-effectiveness-p047,,,no-specialized-tool
interpersonal-effectiveness-p048,,,no-specialized-tool
interpersonal-effectiveness-p049,,,no-specialized-tool
wellness-p002,,,no-specialized-tool
wellness-p004,,,no-specialized-tool
wellness-p005,,,no-specialized-tool
wellness-p006,,,no-specialized-tool
wellness-p007,,,no-specialized-tool
wellness-p008,,,no-specialized-tool
wellness-p010,,,no-specialized-tool
wellness-p011,,,no-specialized-tool
wellness-p012,,,no-specialized-tool
wellness-p013,behavioural-activation,/skill-finder/behavioural-activation/,supporting-resource
wellness-p014,,,no-specialized-tool
wellness-p015,,,no-specialized-tool
wellness-p016,behavioural-activation,/skill-finder/behavioural-activation/,supporting-resource
wellness-p017,behavioural-activation,/skill-finder/behavioural-activation/,supporting-resource
wellness-p018,behavioural-activation,/skill-finder/behavioural-activation/,supporting-resource
wellness-p019,behavioural-activation,/skill-finder/behavioural-activation/,source-for-tool
wellness-p020,behavioural-activation,/skill-finder/behavioural-activation/,source-for-tool
wellness-p021,behavioural-activation,/skill-finder/behavioural-activation/,supporting-resource
wellness-p023,,,no-specialized-tool
wellness-p024,behaviour-chain,/skill-finder/behaviour-chain/,source-for-tool
wellness-p025,behaviour-chain,/skill-finder/behaviour-chain/,source-for-tool
wellness-p026,behaviour-chain,/skill-finder/behaviour-chain/,source-for-tool
wellness-p027,behaviour-chain,/skill-finder/behaviour-chain/,source-for-tool
wellness-p028,behaviour-chain,/skill-finder/behaviour-chain/,source-for-tool
wellness-p029,behaviour-chain,/skill-finder/behaviour-chain/,source-for-tool
wellness-p030,behaviour-chain,/skill-finder/behaviour-chain/,source-for-tool
wellness-p031,behaviour-chain,/skill-finder/behaviour-chain/,source-for-tool
wellness-p032,missing-links,/skill-finder/missing-links/,supporting-resource
wellness-p034,,,no-specialized-tool
wellness-p035,,,no-specialized-tool
wellness-p036,,,no-specialized-tool
wellness-p037,,,no-specialized-tool
wellness-p038,,,no-specialized-tool
